City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
Atuona,PF,1583371167,69,-9.8,-139.03,81.3,58,10.22
Laramie,US,1583371096,37,41.31,-105.59,46.4,22,27.51
Ushuaia,AR,1583371091,87,-54.8,-68.3,51.8,75,5.82
Faanui,PF,1583371168,73,-16.48,-151.75,82.47,86,5.95
Carnarvon,AU,1583371168,88,-24.87,113.63,78.8,0,12.75
Rio Grande,BR,1583370890,75,-32.03,-52.1,69.01,0,13.02
Nikolskoye,RU,1583371168,93,59.7,30.79,39.2,90,8.95
Mataura,NZ,1583371168,54,-46.19,168.86,61.32,0,1.72
Padang,ID,1583371169,95,-0.95,100.35,69.08,100,2.48
Saint George,US,1583371169,24,37.1,-113.58,66.2,1,9.17
Albany,US,1583370971,69,42.6,-73.97,42.01,90,13.87
Saint-Philippe,RE,1583371169,100,-21.36,55.77,77.0,90,2.24
Kaseda-shirakame,JP,1583371169,52,31.42,130.32,42.8,75,11.41
Port Hardy,CA,1583371163,75,50.7,-127.42,41.0,90,14.99
New Norfolk,AU,1583371169,93,-42.78,147.06,63.0,75,8.05
Shingū,JP,1583371169,53,33.73,135.98,44.6,75,21.92
Cabo San Lucas,MX,1583371170,59,22.89,-109.91,70.0,90,8.05
Caravelas,BR,1583371170,82,-17.71,-39.25,81.82,46,18.3
Portland,US,1583370900,37,45.52,-122.68,55.99,1,3.36
Naryan-Mar,RU,1583371170,91,67.67,53.09,9.16,0,9.35
Rikitea,PF,1583371170,72,-23.12,-134.97,77.63,42,17.0
Chishtian,PK,1583371170,72,29.8,72.87,56.86,0,11.77
Provideniya,RU,1583371073,61,64.38,-173.3,14.0,0,3.85
Nishihara,JP,1583371170,87,26.18,127.76,59.0,75,16.11
Sitka,US,1583371171,69,57.05,-135.33,37.4,90,13.87
Ponta do Sol,PT,1583371171,72,32.67,-17.1,62.6,20,2.24
San Felipe,VE,1583371171,84,10.34,-68.74,72.57,8,3.38
Port-Cartier,CA,1583371171,86,50.03,-66.87,30.2,90,14.99
Bluff,NZ,1583371072,50,-46.6,168.33,60.6,0,2.66
Sangar,RU,1583371171,86,63.92,127.47,1.96,100,13.96
Bambous Virieux,MU,1583371171,100,-20.34,57.76,79.0,75,5.82
Shimoda,JP,1583371172,58,34.67,138.95,57.99,75,16.11
Puerto Ayora,EC,1583370974,83,-0.74,-90.35,80.6,75,4.7
Barrow,US,1583371165,92,71.29,-156.79,-32.8,1,8.05
Muzhi,RU,1583371172,80,65.37,64.67,5.32,66,18.34
Esperance,AU,1583371172,60,-33.87,121.9,68.0,44,17.22
Saint-Joseph,RE,1583371172,100,-21.37,55.62,77.0,90,2.24
Guerrero Negro,MX,1583371172,45,27.98,-114.06,67.51,0,15.9
Kharp,RU,1583371172,93,66.8,65.81,-7.11,20,12.75
Chui,UY,1583371173,80,-33.7,-53.46,66.97,0,9.51
Springdale,US,1583370915,43,36.19,-94.13,53.6,1,5.82
Beloha,MG,1583371173,79,-25.17,45.05,69.19,46,15.41
Māndal,IN,1583371173,41,25.45,74.57,60.35,0,5.12
Cotacachi,EC,1583371173,82,0.3,-78.27,62.6,40,6.93
Port Victoria,KE,1583371173,75,0.09,33.98,71.87,100,6.29
Busselton,AU,1583371173,40,-33.65,115.33,75.0,100,9.69
Kysyl-Syr,RU,1583371174,95,63.9,122.76,1.94,100,7.85
Tuatapere,NZ,1583371174,44,-46.13,167.68,61.21,0,3.24
Yellowknife,CA,1583371174,70,62.46,-114.35,-4.0,75,14.99
Samarai,PG,1583371174,67,-10.62,150.67,87.12,84,1.14
Vila do Maio,CV,1583371174,64,15.13,-23.22,73.4,0,19.46
San Miguel de Cozumel,MX,1583371174,78,20.51,-86.95,80.6,40,6.93
Qaanaaq,GL,1583371174,99,77.48,-69.36,-14.46,99,2.01
Deputatsky,RU,1583371175,72,69.3,139.9,-7.1,9,3.6
Ahipara,NZ,1583371175,100,-35.17,173.17,72.0,91,7.34
Upernavik,GL,1583371175,76,72.79,-56.15,-10.61,100,5.35
Hobart,AU,1583371175,93,-42.88,147.33,63.0,75,8.05
Zhangaözen,KZ,1583371175,81,43.3,52.8,40.87,0,4.5
Eureka,US,1583370968,81,40.8,-124.16,61.0,20,4.7
Hirara,JP,1583371175,93,24.8,125.28,60.8,75,20.8
Jiaozuo,CN,1583371175,35,35.24,113.23,37.58,8,8.34
Katsuura,JP,1583371175,46,35.13,140.3,55.4,75,24.16
East London,ZA,1583371176,70,-33.02,27.91,76.93,0,10.36
Pangnirtung,CA,1583371176,96,66.15,-65.71,9.12,100,0.43
Porto-Novo,BJ,1583371163,83,6.5,2.6,84.2,40,11.41
Te Anau,NZ,1583371176,74,-45.42,167.72,46.36,1,2.46
Ordzhonīkīdze,KZ,1583371176,92,52.44,61.74,22.19,92,7.56
Norman Wells,CA,1583371176,69,65.28,-126.83,-13.0,75,10.29
Winnemucca,US,1583371176,15,40.97,-117.74,64.4,1,9.17
Punta Arenas,CL,1583371070,71,-53.15,-70.92,57.2,20,9.17
Kamaishi,JP,1583371177,75,39.27,141.88,41.0,75,8.05
Necochea,AR,1583371177,83,-38.55,-58.74,71.01,0,3.0
Port Macquarie,AU,1583371177,83,-31.43,152.92,78.01,75,18.34
Mount Isa,AU,1583371177,88,-20.73,139.5,77.0,90,9.17
Kapaa,US,1583371177,61,22.08,-159.32,80.6,90,9.17
Ancud,CL,1583371177,82,-41.87,-73.82,62.6,40,5.82
Kaiyuan,CN,1583371177,94,23.7,103.3,49.8,89,8.84
Bredasdorp,ZA,1583371178,82,-34.53,20.04,66.2,71,2.24
Garoowe,SO,1583371178,79,8.41,48.48,64.38,17,7.54
Salalah,OM,1583371178,22,17.02,54.09,73.4,54,5.82
Leninskoye,RU,1583371178,87,47.94,132.62,14.83,0,5.75
Mahébourg,MU,1583371178,100,-20.41,57.7,79.0,75,5.82
Mweka,CD,1583371178,72,-4.85,21.57,71.4,0,2.71
Phalodi,IN,1583371178,52,27.13,72.37,65.82,0,11.05
Cherskiy,RU,1583371178,73,68.75,161.3,7.86,82,16.4
Port Alfred,ZA,1583371067,82,-33.59,26.89,71.01,0,8.01
Mnogovershinnyy,RU,1583371179,85,53.94,139.92,14.67,100,3.49
Vaini,TO,1583371179,70,-21.2,-175.2,86.0,75,6.93
Jacareacanga,BR,1583371179,94,-6.22,-57.75,75.92,65,1.57
Longyearbyen,SJ,1583371179,67,78.22,15.64,19.4,75,4.7
Vila Velha,BR,1583371176,100,-20.33,-40.29,73.4,90,4.7
Barberino di Mugello,IT,1583371179,93,44.0,11.24,42.01,1,2.24
Dingle,PH,1583371179,76,11.0,122.67,78.87,52,13.73
Port Elizabeth,ZA,1583371180,73,-33.92,25.57,69.8,42,13.87
Batemans Bay,AU,1583371180,100,-35.72,150.18,71.01,100,1.01
Nome,US,1583371180,71,64.5,-165.41,7.0,1,5.82
Banyo,CM,1583371180,47,6.75,11.82,67.87,68,2.71
Lebu,CL,1583371180,68,-37.62,-73.65,63.0,0,12.41
Ust'-Uda,RU,1583371180,90,54.17,103.03,24.12,100,9.57
Pīshvā,IR,1583371180,56,35.31,51.73,44.6,0,11.41
Sinnamary,GF,1583371181,75,5.38,-52.95,79.81,23,15.26
Mar del Plata,AR,1583371181,100,-38.0,-57.56,69.01,90,9.17
Ribeira Grande,PT,1583371181,76,38.52,-28.7,55.4,20,5.82
Jamestown,US,1583371181,92,42.1,-79.24,36.0,90,10.29
Peniche,PT,1583371181,93,39.36,-9.38,60.01,75,12.75
Geraldton,AU,1583371181,47,-28.77,114.6,78.8,15,11.41
Avarua,CK,1583371181,74,-21.21,-159.78,86.0,8,8.05
Isangel,VU,1583371181,66,-19.55,169.27,89.6,40,5.82
Pierre,US,1583371022,43,44.37,-100.35,51.8,40,27.51
Mount Gambier,AU,1583371182,77,-37.83,140.77,64.4,75,10.29
Trelew,AR,1583371182,57,-43.25,-65.31,71.56,100,8.12
Huilong,CN,1583371182,55,31.81,121.66,45.0,0,4.0
Cabedelo,BR,1583371182,83,-6.98,-34.83,80.6,20,4.7
Chokurdakh,RU,1583371182,79,70.63,147.92,-10.59,0,2.89
Ugoofaaru,MV,1583371182,73,5.67,73.0,82.26,25,6.2
Bay Roberts,CA,1583371182,86,47.6,-53.26,41.0,90,29.97
Cabo Rojo,PR,1583371183,78,18.09,-67.15,79.0,75,5.82
Oleśnica,PL,1583371183,92,51.21,17.39,36.0,75,1.12
Tshela,CD,1583371183,98,-4.98,12.93,75.13,79,1.77
Tobol,KZ,1583371183,91,52.68,62.58,20.55,76,7.4
Gemeente Veenendaal,NL,1583371183,93,52.02,5.55,43.0,90,4.7
Chernyshevskiy,RU,1583371183,96,63.01,112.47,1.8,100,4.65
Torbay,CA,1583371183,86,47.67,-52.73,41.0,90,29.97
Lagoa,PT,1583371183,68,39.05,-27.98,58.98,18,15.93
Santiago del Estero,AR,1583371184,45,-27.8,-64.26,76.03,0,2.19
Berlevåg,NO,1583371184,70,70.86,29.09,24.19,30,22.24
Arraial do Cabo,BR,1583371184,83,-22.97,-42.03,75.7,70,15.01
Departamento de Maldonado,UY,1583371184,88,-34.67,-54.92,69.8,0,8.05
Cape Town,ZA,1583370967,93,-33.93,18.42,69.01,75,11.41
Sittwe,MM,1583371184,83,20.15,92.9,67.86,0,4.68
Dikson,RU,1583371184,99,73.51,80.55,-12.05,100,17.4
Izhma,RU,1583371185,96,65.01,53.91,8.13,65,5.7
São João da Barra,BR,1583371185,91,-21.64,-41.05,73.4,98,8.63
Marzuq,YE,1583371185,59,14.4,46.47,65.79,22,4.03
Limbang,MY,1583371185,88,4.75,115.0,80.6,75,4.7
Grand Gaube,MU,1583371185,100,-20.01,57.66,79.0,75,5.82
Bethel,US,1583371074,52,41.37,-73.41,50.0,90,10.29
Bengkulu,ID,1583371185,92,-3.8,102.27,72.93,100,4.14
Hamilton,US,1583371018,39,39.18,-84.53,50.0,1,4.7
Vardø,NO,1583371185,72,70.37,31.11,23.67,56,22.64
Paamiut,GL,1583371044,49,61.99,-49.67,10.09,0,4.92
Gualaquiza,EC,1583371186,96,-3.4,-78.55,65.93,49,1.77
Kastamonu Province,TR,1583371186,60,41.5,33.67,42.17,75,3.11
Zermatt,CH,1583371186,65,46.02,7.75,42.01,100,4.7
Jambi City,ID,1583371186,97,-1.6,103.62,74.3,100,2.95
Asău,RO,1583371186,93,46.43,26.4,45.0,75,11.41
Castro,BR,1583371186,66,-24.79,-50.01,63.55,30,1.03
Tiksi,RU,1583371187,83,71.69,128.87,1.15,100,12.48
Narsaq,GL,1583371187,43,60.92,-46.05,10.4,0,3.36
Itarema,BR,1583371187,93,-2.92,-39.92,75.92,52,2.15
Aklavik,CA,1583371187,69,68.22,-135.01,-9.4,75,10.29
Dekar,BW,1583371187,65,-21.53,21.93,65.01,26,5.86
Tasiilaq,GL,1583371187,79,65.61,-37.64,23.0,98,4.7
Hofn,IS,1583371187,56,64.25,-15.21,38.75,80,10.54
Lorengau,PG,1583371187,69,-2.02,147.27,84.76,99,9.26
Sayyan,YE,1583371188,59,15.17,44.32,51.46,0,0.98
Nemuro,JP,1583371188,92,43.32,145.57,30.2,90,16.11
Yima,CN,1583371188,39,34.74,111.88,35.2,0,4.27
Lüderitz,NA,1583371188,77,-26.65,15.16,69.8,0,9.17
Clyde River,CA,1583371188,75,70.47,-68.59,-16.6,90,14.99
Dongsheng,CN,1583371188,65,39.82,109.98,31.15,28,21.81
Ilulissat,GL,1583371188,57,69.22,-51.1,-9.4,63,2.24
Tuktoyaktuk,CA,1583371188,68,69.45,-133.04,-18.4,90,21.92
Constantine,DZ,1583371189,87,36.37,6.61,42.8,20,2.24
Hilo,US,1583371189,69,19.73,-155.09,77.0,90,14.99
Quatre Cocos,MU,1583371189,100,-20.21,57.76,79.0,75,5.82
Kaitangata,NZ,1583371189,70,-46.28,169.85,51.62,0,3.8
Harbour Breton,CA,1583371189,89,47.48,-55.8,34.9,100,38.63
Mogocha,RU,1583371190,96,53.73,119.77,1.94,92,0.89
Warri,NG,1583371190,82,5.52,5.75,80.92,1,3.09
Butaritari,KI,1583371190,80,3.07,172.79,83.03,100,17.29
Mil'kovo,RU,1583371190,91,54.72,158.62,13.3,100,1.36
Pevek,RU,1583371190,67,69.7,170.31,1.4,39,10.4
Thompson,CA,1583371007,62,55.74,-97.86,21.2,90,3.36
Kloulklubed,PW,1583371190,83,7.04,134.26,82.4,90,9.17
Ambilobe,MG,1583371190,92,-13.2,49.05,74.86,51,2.13
Fort Nelson,CA,1583371191,51,58.81,-122.7,14.0,75,3.36
Itoman,JP,1583371191,77,26.12,127.67,59.0,75,19.46
Namie,JP,1583371191,56,37.48,141.0,42.8,75,12.75
Dudinka,RU,1583371124,84,69.41,86.18,-0.4,100,15.66
Hithadhoo,MV,1583371073,76,-0.6,73.08,82.72,100,13.33
Suntar,RU,1583371191,95,62.14,117.63,-1.64,44,4.23
Apollonia,GR,1583371090,76,36.97,24.72,55.99,53,5.82
Pochutla,MX,1583371075,78,15.74,-96.47,84.2,5,10.29
Nizhneangarsk,RU,1583371192,80,55.78,109.55,5.97,99,1.74
Nuuk,GL,1583371192,72,64.18,-51.72,14.0,0,16.11
Hermanus,ZA,1583371073,95,-34.42,19.23,63.0,9,1.88
Sechura,PE,1583371192,84,-5.56,-80.82,76.32,0,15.03
Souillac,MU,1583371192,100,-20.52,57.52,79.0,75,5.82
Kralendijk,BQ,1583370984,69,12.15,-68.27,80.6,58,23.04
Soyo,AO,1583371193,89,-6.13,12.37,79.12,32,5.48
Halifax,CA,1583371193,55,44.65,-63.57,41.0,90,29.97
Astara,AZ,1583371193,57,38.5,48.67,38.26,0,5.46
Hasaki,JP,1583371193,76,35.73,140.83,48.2,75,12.75
Kavaratti,IN,1583371193,71,10.57,72.64,81.77,10,10.67
Celestún,MX,1583371193,73,20.87,-90.4,81.9,0,8.46
Chālūs,IR,1583371193,87,36.66,51.42,44.6,0,4.7
Price,US,1583370994,19,39.6,-110.81,55.4,1,11.41
Champerico,GT,1583371194,58,14.3,-91.92,83.8,0,8.25
Faya,SA,1583371194,71,18.39,42.45,59.0,0,6.93
La Tuque,CA,1583371194,90,47.43,-72.78,27.09,100,12.12
Henties Bay,NA,1583371194,89,-22.12,14.28,68.0,52,5.01
Flinders,AU,1583371194,100,-34.58,150.86,73.0,90,10.29
The Valley,AI,1583371194,74,18.22,-63.06,78.8,20,10.29
Cayenne,GF,1583370897,78,4.93,-52.33,78.8,20,4.7
Bulawayo,ZW,1583371151,74,-20.15,28.58,60.35,80,9.01
Homa Bay,KE,1583371195,88,-0.53,34.46,66.2,75,8.05
Sungai Penuh,ID,1583371195,98,-2.08,101.38,63.54,99,2.93
Gleisdorf,AT,1583371195,85,47.11,15.71,34.0,0,1.12
Santo Domingo,DO,1583371190,83,18.5,-69.99,81.0,20,6.93
Rawson,AR,1583371195,71,-43.3,-65.1,71.13,100,9.78
Ostrovnoy,RU,1583371196,78,68.05,39.51,9.37,20,10.29
Kahului,US,1583371193,58,20.89,-156.47,82.4,40,9.17
Bom Jesus,BR,1583371196,93,-9.07,-44.36,75.0,100,2.44
Āmol,IR,1583371196,82,36.47,52.35,48.2,0,2.95
Cidreira,BR,1583371196,72,-30.18,-50.21,72.23,54,13.27
Birin,NP,1583371196,76,26.89,88.07,43.05,0,3.91
Fortuna,US,1583371196,87,40.6,-124.16,64.0,1,11.41
Talnakh,RU,1583371098,84,69.49,88.4,-0.4,100,15.66
Villarrica,PY,1583371156,38,-25.75,-56.43,74.97,0,2.35
Eenhana,NA,1583371197,88,-17.47,16.33,71.6,0,4.7
Aligoodarz,IR,1583371197,62,33.4,49.69,35.02,0,1.32
Latur,IN,1583371197,34,18.4,76.58,65.17,0,9.31
Union City,US,1583371197,46,37.6,-122.02,79.0,1,9.17
Bilibino,RU,1583371197,60,68.05,166.44,2.75,12,2.04
Tabou,CI,1583371197,96,4.42,-7.35,78.75,100,4.54
Emba,KZ,1583371197,97,48.83,58.14,23.32,99,5.86
Baruun-Urt,MN,1583370901,68,46.68,113.28,14.09,99,10.13
Ürümqi,CN,1583371198,92,43.8,87.6,32.0,75,6.71
Savalou,BJ,1583371198,68,7.93,1.98,82.96,89,5.39
Codrington,AU,1583371198,88,-38.27,141.97,61.61,96,13.18
Darhan,MN,1583371198,85,49.49,105.92,4.55,100,1.7
Bathsheba,BB,1583371068,69,13.22,-59.52,78.8,40,20.8
Ushumun,RU,1583371198,95,52.78,126.53,8.47,100,7.2
Kandrian,PG,1583371198,75,-6.22,149.55,84.87,84,6.11
Saint Paul Harbor,US,1583371199,48,57.79,-152.41,19.4,1,27.51
Riyadh,SA,1583371030,43,24.69,46.72,55.4,0,2.3
Kruisfontein,ZA,1583371199,66,-34.0,24.73,69.55,73,4.85
Dunedin,NZ,1583371199,75,-45.87,170.5,50.09,0,5.48
Broome,US,1583371199,86,42.25,-75.83,39.0,90,8.05
Manzhouli,CN,1583371199,98,49.6,117.43,-2.13,30,3.15
Kavieng,PG,1583371077,64,-2.57,150.8,84.56,100,4.07
Saint-François,FR,1583371200,87,46.42,3.91,45.0,100,5.82
Sos'va,RU,1583371200,84,59.18,61.86,13.01,9,7.54
Khatanga,RU,1583371200,99,71.97,102.5,-10.8,94,10.09
Zvenigovo,RU,1583371200,100,55.97,48.02,30.2,90,4.47
Kita,ML,1583371200,11,13.03,-9.49,74.35,0,1.7
Makkah al Mukarramah,SA,1583371021,59,21.43,39.83,73.76,5,2.46
Arrondissement de Saint-Denis,FR,1583371200,93,48.92,2.33,48.2,90,8.05
Saint-Pierre,RE,1583371200,100,-21.34,55.48,77.0,90,2.24
Severo-Kuril'sk,RU,1583371200,88,50.68,156.12,25.45,100,5.35
Nanyang,CN,1583371201,65,32.99,112.53,40.93,0,8.19
Cabañas,CU,1583371201,83,22.98,-82.92,77.0,0,5.82
Alofi,NU,1583371201,78,-19.06,-169.92,82.4,75,5.82
Hurghada,EG,1583371201,67,27.26,33.81,60.8,0,6.93
Ust'-Ilimsk,RU,1583371201,95,58.0,102.66,13.48,87,6.42
Solnechnyy,RU,1583371201,89,50.72,136.63,19.56,95,2.26
Kolpashevo,RU,1583371201,94,58.31,82.91,17.15,90,5.99
Caconda,AO,1583371202,77,-13.73,15.07,63.1,29,2.37
Belmonte,BR,1583371202,83,-15.86,-38.88,80.6,20,5.82
Benguela,AO,1583371202,83,-12.58,13.41,77.54,18,3.29
Maroantsetra,MG,1583371202,96,-15.43,49.73,67.46,88,3.31
Ust'-Kut,RU,1583371202,96,56.79,105.77,13.53,100,3.2
Novobiryusinskiy,RU,1583371202,91,56.96,97.71,22.15,96,10.02
Touros,BR,1583371202,78,-5.2,-35.46,82.4,40,4.7
Gardner,US,1583371202,44,42.58,-72.0,44.6,1,4.7
Kirakira,SB,1583371203,73,-10.45,161.92,83.97,54,2.91
Amontada,BR,1583371203,96,-3.36,-39.83,75.34,89,2.73
Mossamedes,AO,1583371203,75,-15.2,12.15,74.44,1,14.79
La Ronge,CA,1583370993,79,55.1,-105.28,26.6,75,3.36
Glinishchevo,RU,1583371203,93,53.3,34.07,39.87,100,11.25
Beyneu,KZ,1583371203,81,45.32,55.2,41.81,7,7.4
Altea,ES,1583371204,51,38.6,-0.05,66.0,92,9.17
Abadan,TM,1583371204,81,38.05,58.21,42.8,75,6.93
Vostok,RU,1583371204,88,46.49,135.88,18.27,100,2.46
Kawalu,ID,1583371204,91,-7.38,108.21,68.85,100,6.33
Flin Flon,CA,1583371204,79,54.77,-101.86,23.0,90,4.7
Batagay,RU,1583371204,82,67.63,134.63,-7.85,96,3.29
Port Townsend,US,1583371205,53,48.12,-122.76,52.0,1,6.93
Avera,US,1583371205,95,33.19,-82.53,57.99,90,4.7
Sosnovo-Ozerskoye,RU,1583371205,95,52.52,111.54,3.42,80,5.37
Polunochnoye,RU,1583371205,83,60.87,60.42,9.16,0,9.1
Zhangzhou,CN,1583371205,71,24.51,117.66,55.4,90,8.95
Sungai Raya,ID,1583371205,95,0.7,108.9,72.88,100,4.54
George Town,MY,1583370956,78,5.41,100.34,82.4,20,3.36
Le Port,RE,1583371205,88,-20.94,55.29,77.0,40,5.82
